체크ID,회계기간,사업부,계정과목,담당자,체크항목,완료여부,완료일,지연일수,검토횟수,최종승인
1,2026-09,OLED,현금,이대리,예금잔액 확인,Y,2026-10-31,2,4,Y
2,2026-07,OLED,리스부채,최대리,리스 검토,Y,2026-02-05,2,3,Y
3,2026-08,OLED,선급금,정사원,법인카드 대사,N,2026-11-03,2,4,Y
4,2026-10,제약,리스부채,김대리,매출채권 대사,Y,2026-10-02,0,2,N
5,2026-06,OLED,미지급금,최대리,매출채권 대사,Y,2026-07-24,5,1,Y
6,2026-10,OLED,미지급금,정사원,선급금 검토,Y,2026-10-13,3,4,N
7,2026-08,OLED,현금,김대리,감가상각 계산,Y,2026-01-13,1,4,Y
8,2026-06,OLED,부가세예수금,최대리,선급금 검토,Y,2026-06-09,1,4,N
9,2026-12,OLED,감가상각비,김대리,예금잔액 확인,N,2026-01-23,2,3,Y
10,2026-09,제약,선급금,이대리,리스 검토,Y,2026-05-05,0,3,N
11,2026-07,제약,선급금,최대리,예금잔액 확인,Y,2026-12-03,1,2,N
12,2026-04,OLED,감가상각비,박과장,매출채권 대사,N,2026-04-20,1,1,Y
13,2026-11,OLED,선급금,박과장,법인카드 대사,Y,2026-09-28,1,4,Y
14,2026-11,OLED,현금,박과장,매출채권 대사,Y,2026-03-30,2,2,N
15,2026-07,OLED,리스부채,정사원,리스 검토,Y,2026-07-18,3,4,N
16,2026-03,OLED,부가세예수금,정사원,리스 검토,Y,2026-11-27,3,4,N
17,2026-08,OLED,리스부채,이대리,선급금 검토,Y,2026-01-05,3,4,N
18,2026-08,OLED,감가상각비,이대리,매출채권 대사,Y,2026-08-16,1,1,Y
19,2026-12,OLED,리스부채,최대리,매출채권 대사,Y,2026-10-17,2,1,N
20,2026-01,제약,현금,최대리,선급금 검토,Y,2026-10-05,1,4,Y
21,2026-05,제약,부가세예수금,박과장,매출채권 대사,Y,2026-08-19,0,4,Y
22,2026-12,제약,선급금,박과장,법인카드 대사,Y,2026-10-29,0,2,Y
23,2026-10,제약,현금,정사원,리스 검토,Y,2026-05-24,0,3,N
24,2026-11,OLED,리스부채,김대리,리스 검토,Y,2026-09-21,2,4,Y
25,2026-12,제약,현금,박과장,선급금 검토,Y,2026-03-16,0,4,N
26,2026-07,OLED,부가세예수금,최대리,매출채권 대사,Y,2026-08-01,1,1,N
27,2026-06,OLED,리스부채,정사원,예금잔액 확인,Y,2026-09-07,1,1,N
28,2026-09,제약,부가세예수금,최대리,선급금 검토,Y,2026-02-02,0,4,Y
29,2026-08,OLED,리스부채,박과장,예금잔액 확인,Y,2026-10-17,2,1,Y
30,2026-03,제약,현금,최대리,재고 검토,Y,2026-03-05,0,1,N
31,2026-02,OLED,부가세예수금,박과장,감가상각 계산,Y,2026-05-21,4,1,N
32,2026-11,제약,부가세예수금,박과장,선급금 검토,Y,2026-07-22,0,4,Y
33,2026-11,제약,매출채권,최대리,예금잔액 확인,Y,2026-09-23,0,1,N
34,2026-08,제약,현금,김대리,선급금 검토,Y,2026-03-09,1,4,Y
35,2026-03,제약,매출채권,이대리,매출채권 대사,Y,2026-07-15,1,1,Y
36,2026-07,OLED,부가세예수금,정사원,재고 검토,Y,2026-03-19,3,2,Y
37,2026-06,제약,선급금,이대리,선급금 검토,Y,2026-08-08,0,3,Y
38,2026-05,OLED,미지급금,김대리,감가상각 계산,Y,2026-11-08,1,2,Y
39,2026-08,제약,리스부채,최대리,매출채권 대사,Y,2026-05-03,0,2,N
40,2026-06,제약,매출채권,박과장,리스 검토,Y,2026-01-07,0,4,N
41,2026-01,OLED,부가세예수금,정사원,매출채권 대사,Y,2026-02-07,3,1,N
42,2026-09,OLED,매출채권,박과장,법인카드 대사,Y,2026-07-23,3,4,N
43,2026-09,OLED,미지급금,이대리,리스 검토,Y,2026-02-10,1,3,N
44,2026-11,OLED,현금,김대리,감가상각 계산,Y,2026-12-15,2,4,Y
45,2026-05,OLED,매출채권,이대리,매출채권 대사,Y,2026-01-29,2,1,Y
46,2026-09,제약,선급금,정사원,감가상각 계산,Y,2026-06-27,0,2,N
47,2026-06,OLED,현금,최대리,감가상각 계산,Y,2026-01-16,3,1,N
48,2026-08,제약,미지급금,정사원,미지급금 검토,Y,2026-09-12,0,1,N
49,2026-11,제약,선급금,김대리,선급금 검토,Y,2026-10-21,0,1,Y
50,2026-06,제약,매출채권,최대리,리스 검토,Y,2026-08-30,1,2,Y
51,2026-12,OLED,부가세예수금,박과장,감가상각 계산,Y,2026-08-02,2,1,N
52,2026-04,OLED,부가세예수금,정사원,예금잔액 확인,Y,2026-04-02,1,4,Y
53,2026-08,제약,현금,김대리,미지급금 검토,Y,2026-10-11,0,2,N
54,2026-08,OLED,리스부채,박과장,재고 검토,Y,2026-05-05,4,2,Y
55,2026-01,OLED,감가상각비,박과장,예금잔액 확인,Y,2026-12-22,3,4,N
56,2026-08,OLED,미지급금,김대리,리스 검토,Y,2026-08-03,2,3,Y
57,2026-08,OLED,선급금,김대리,매출채권 대사,Y,2026-07-10,3,2,N
58,2026-03,OLED,미지급금,이대리,감가상각 계산,N,2026-12-06,1,3,N
59,2026-04,제약,감가상각비,김대리,선급금 검토,Y,2026-05-20,0,2,Y
60,2026-07,OLED,선급금,김대리,미지급금 검토,Y,2026-06-10,0,2,N
61,2026-12,OLED,리스부채,정사원,예금잔액 확인,Y,2026-06-05,2,2,N
62,2026-07,OLED,부가세예수금,정사원,예금잔액 확인,Y,2026-07-02,2,3,N
63,2026-04,제약,선급금,김대리,재고 검토,Y,2026-10-09,1,1,Y
64,2026-03,OLED,매출채권,이대리,법인카드 대사,Y,2026-04-24,2,3,Y
65,2026-11,OLED,리스부채,최대리,리스 검토,Y,2026-04-12,2,1,N
66,2026-07,OLED,감가상각비,최대리,재고 검토,N,2026-10-21,2,1,N
67,2026-03,제약,선급금,김대리,선급금 검토,Y,2026-08-17,0,3,N
68,2026-05,OLED,미지급금,최대리,리스 검토,Y,2026-02-14,4,4,Y
69,2026-07,제약,현금,박과장,재고 검토,Y,2026-01-10,0,4,N
70,2026-03,제약,미지급금,김대리,미지급금 검토,Y,2026-05-19,0,2,Y
71,2026-10,제약,현금,이대리,리스 검토,Y,2026-07-03,0,1,Y
72,2026-04,제약,리스부채,정사원,법인카드 대사,Y,2026-01-29,2,3,Y
73,2026-01,OLED,미지급금,박과장,리스 검토,Y,2026-10-30,1,2,N
74,2026-01,OLED,선급금,이대리,선급금 검토,Y,2026-02-16,3,1,N
75,2026-01,OLED,미지급금,김대리,리스 검토,Y,2026-06-15,2,2,Y
76,2026-06,제약,현금,최대리,매출채권 대사,Y,2026-02-07,1,3,N
77,2026-11,OLED,선급금,박과장,리스 검토,Y,2026-09-07,2,3,Y
78,2026-12,제약,현금,박과장,리스 검토,Y,2026-06-07,0,2,Y
79,2026-03,제약,미지급금,정사원,미지급금 검토,Y,2026-01-17,0,2,Y
80,2026-04,제약,선급금,박과장,미지급금 검토,Y,2026-02-09,2,2,Y
81,2026-04,제약,부가세예수금,이대리,매출채권 대사,Y,2026-05-16,0,3,N
82,2026-08,제약,부가세예수금,최대리,리스 검토,N,2026-07-17,0,4,N
83,2026-11,제약,리스부채,이대리,리스 검토,Y,2026-10-23,0,4,Y
84,2026-05,제약,매출채권,김대리,매출채권 대사,Y,2026-06-13,0,3,Y
85,2026-06,제약,선급금,정사원,재고 검토,Y,2026-02-17,0,1,N
86,2026-03,제약,선급금,김대리,매출채권 대사,Y,2026-08-11,0,3,Y
87,2026-11,제약,감가상각비,박과장,감가상각 계산,Y,2026-05-16,0,2,Y
88,2026-03,OLED,미지급금,김대리,미지급금 검토,Y,2026-09-09,0,1,N
89,2026-04,OLED,현금,이대리,감가상각 계산,Y,2026-01-14,1,1,N
90,2026-08,제약,리스부채,박과장,매출채권 대사,Y,2026-08-30,0,4,Y
91,2026-05,OLED,감가상각비,이대리,감가상각 계산,Y,2026-08-27,1,1,Y
92,2026-06,제약,부가세예수금,정사원,법인카드 대사,Y,2026-12-09,1,2,Y
93,2026-10,제약,현금,이대리,재고 검토,Y,2026-09-01,0,3,Y
94,2026-10,OLED,현금,정사원,리스 검토,Y,2026-09-15,2,1,N
95,2026-02,OLED,선급금,최대리,선급금 검토,Y,2026-08-05,4,2,N
96,2026-02,OLED,부가세예수금,최대리,법인카드 대사,Y,2026-02-04,2,3,N
97,2026-02,OLED,현금,최대리,리스 검토,Y,2026-08-03,4,2,Y
98,2026-09,제약,미지급금,박과장,법인카드 대사,Y,2026-05-27,0,3,N
99,2026-10,제약,미지급금,정사원,법인카드 대사,Y,2026-03-15,0,1,N
100,2026-12,제약,리스부채,최대리,감가상각 계산,Y,2026-01-26,0,3,Y
101,2026-11,OLED,현금,김대리,선급금 검토,Y,2026-12-23,2,2,N
102,2026-05,제약,감가상각비,최대리,매출채권 대사,Y,2026-06-14,1,2,N
103,2026-01,OLED,현금,정사원,리스 검토,Y,2026-07-11,1,1,N
104,2026-10,제약,감가상각비,김대리,리스 검토,Y,2026-09-26,1,2,Y
105,2026-05,제약,선급금,박과장,재고 검토,Y,2026-04-12,1,4,Y
106,2026-08,제약,선급금,이대리,재고 검토,Y,2026-11-01,0,3,N
107,2026-01,OLED,리스부채,이대리,선급금 검토,Y,2026-07-17,2,2,Y
108,2026-01,제약,리스부채,김대리,재고 검토,Y,2026-09-20,0,2,Y
109,2026-12,제약,매출채권,박과장,법인카드 대사,Y,2026-12-31,1,4,N
110,2026-09,OLED,선급금,정사원,법인카드 대사,Y,2026-12-13,3,1,Y
111,2026-10,OLED,부가세예수금,박과장,감가상각 계산,Y,2026-11-01,4,1,N
112,2026-05,OLED,리스부채,박과장,선급금 검토,Y,2026-05-22,2,2,Y
113,2026-11,제약,현금,이대리,예금잔액 확인,Y,2026-06-13,1,4,N
114,2026-10,OLED,감가상각비,정사원,선급금 검토,Y,2026-01-19,1,3,Y
115,2026-05,제약,부가세예수금,이대리,리스 검토,Y,2026-09-17,1,3,Y
116,2026-03,OLED,부가세예수금,박과장,매출채권 대사,Y,2026-10-14,0,2,N
117,2026-10,OLED,현금,박과장,재고 검토,Y,2026-05-14,1,1,N
118,2026-02,OLED,부가세예수금,최대리,선급금 검토,Y,2026-11-14,4,1,N
119,2026-06,OLED,감가상각비,최대리,재고 검토,Y,2026-04-13,4,2,N
120,2026-06,제약,선급금,이대리,미지급금 검토,Y,2026-09-07,1,1,Y
121,2026-02,OLED,선급금,이대리,법인카드 대사,Y,2026-09-08,2,4,N
122,2026-09,OLED,감가상각비,이대리,미지급금 검토,Y,2026-01-20,1,1,N
123,2026-04,제약,미지급금,박과장,감가상각 계산,Y,2026-05-08,1,2,Y
124,2026-01,OLED,미지급금,박과장,감가상각 계산,Y,2026-02-03,3,4,N
125,2026-04,OLED,부가세예수금,이대리,법인카드 대사,Y,2026-07-03,3,1,Y
126,2026-10,OLED,선급금,정사원,리스 검토,Y,2026-01-12,2,1,N
127,2026-10,제약,현금,김대리,예금잔액 확인,Y,2026-10-01,2,1,Y
128,2026-02,OLED,매출채권,정사원,감가상각 계산,Y,2026-07-14,2,4,Y
129,2026-09,OLED,부가세예수금,박과장,리스 검토,Y,2026-12-06,1,4,Y
130,2026-02,OLED,미지급금,최대리,선급금 검토,Y,2026-02-28,1,2,N
131,2026-08,제약,선급금,이대리,재고 검토,Y,2026-10-08,0,3,Y
132,2026-10,OLED,부가세예수금,최대리,리스 검토,Y,2026-02-26,3,1,Y
133,2026-05,제약,매출채권,최대리,예금잔액 확인,Y,2026-06-01,1,1,Y
134,2026-06,제약,현금,최대리,매출채권 대사,Y,2026-12-13,0,1,Y
135,2026-10,OLED,선급금,박과장,매출채권 대사,Y,2026-08-13,2,3,N
136,2026-05,OLED,감가상각비,최대리,재고 검토,Y,2026-08-22,1,4,Y
137,2026-07,OLED,부가세예수금,정사원,재고 검토,Y,2026-02-23,2,4,Y
138,2026-11,제약,현금,이대리,재고 검토,Y,2026-01-15,0,4,Y
139,2026-11,제약,감가상각비,정사원,선급금 검토,Y,2026-12-27,1,3,Y
140,2026-11,OLED,부가세예수금,최대리,리스 검토,Y,2026-06-27,2,1,Y
141,2026-02,제약,선급금,최대리,미지급금 검토,Y,2026-03-26,0,2,N
142,2026-11,제약,매출채권,최대리,법인카드 대사,Y,2026-10-09,0,2,Y
143,2026-02,OLED,현금,최대리,예금잔액 확인,Y,2026-06-11,2,1,N
144,2026-10,OLED,미지급금,정사원,감가상각 계산,Y,2026-02-16,2,2,N
145,2026-09,제약,리스부채,정사원,재고 검토,Y,2026-06-19,1,3,N
146,2026-06,OLED,현금,박과장,감가상각 계산,Y,2026-01-02,0,3,Y
147,2026-02,OLED,선급금,박과장,선급금 검토,Y,2026-07-29,0,2,Y
148,2026-12,제약,감가상각비,박과장,매출채권 대사,Y,2026-04-08,0,4,Y
149,2026-11,제약,현금,정사원,리스 검토,Y,2026-08-23,0,4,Y
150,2026-10,OLED,매출채권,최대리,리스 검토,Y,2026-08-10,2,2,Y
151,2026-07,OLED,부가세예수금,정사원,선급금 검토,Y,2026-07-16,0,3,N
152,2026-03,제약,리스부채,최대리,감가상각 계산,Y,2026-03-10,0,3,Y
153,2026-12,OLED,미지급금,이대리,미지급금 검토,Y,2026-03-09,2,1,N
154,2026-12,OLED,미지급금,최대리,감가상각 계산,Y,2026-12-08,1,4,Y
155,2026-03,OLED,매출채권,박과장,감가상각 계산,N,2026-05-17,2,2,Y
156,2026-01,제약,리스부채,박과장,재고 검토,Y,2026-10-05,1,1,Y
157,2026-05,제약,미지급금,김대리,법인카드 대사,Y,2026-12-23,0,4,N
158,2026-01,제약,부가세예수금,김대리,감가상각 계산,Y,2026-10-10,1,2,N
159,2026-12,제약,부가세예수금,정사원,선급금 검토,Y,2026-10-07,0,2,N
160,2026-12,OLED,부가세예수금,정사원,매출채권 대사,N,2026-03-30,1,4,Y
